country,company_name,company_ticker,eps,eps_forcast,revenue,revenue_forcast,company_mkcap,time,date
ארצות הברית,קונסטליישן ברנדס,STZ,3.22,3.41  /,2.52B,2.56B  /,30.35B,לאחר סגירת המסחר,"יום שלישי, 1 ביולי, 2025"
ארצות הברית,דלתא איירליינס,DAL,2.1,2.05  /,15.5B,15.42B  /,36.74B,לפני פתיחת המסחר,"יום חמישי, 10 ביולי, 2025"
ארצות הברית,קון-אגרה ברנדס,CAG,0.56,0.59  /,2.78B,2.85B  /,9.26B,לפני פתיחת המסחר,"יום חמישי, 10 ביולי, 2025"
ארצות הברית,פסטנאל,FAST,--,0.2824  /,--,2.07B  /,49.64B,לפני פתיחת המסחר,"יום שני, 14 ביולי, 2025"
ארצות הברית,ג'יי פי מורגן צ'ייס,JPM,--,4.48  /,--,43.86B  /,797.21B,לפני פתיחת המסחר,"יום שלישי, 15 ביולי, 2025"
ארצות הברית,וולס פארגו,WFC,--,1.41  /,--,20.76B  /,268.63B,לפני פתיחת המסחר,"יום שלישי, 15 ביולי, 2025"
ארצות הברית,בלאק-רוק,BLK,--,10.79  /,--,5.43B  /,170.67B,לפני פתיחת המסחר,"יום שלישי, 15 ביולי, 2025"
ארצות הברית,סיטיגרופ,C,--,1.61  /,--,20.94B  /,161.99B,לפני פתיחת המסחר,"יום שלישי, 15 ביולי, 2025"
ארצות הברית,בנק אוף ניו יורק מלון,BK,--,1.75  /,--,4.78B  /,67.05B,לפני פתיחת המסחר,"יום שלישי, 15 ביולי, 2025"
ארצות הברית,סטייט סטריט,STT,--,2.35  /,--,3.35B  /,31.24B,לפני פתיחת המסחר,"יום שלישי, 15 ביולי, 2025"
ארצות הברית,ג'יי.בי. האנט טרנספורט סרוויסז,JBHT,--,1.31  /,--,2.92B  /,15.23B,לאחר סגירת המסחר,"יום שלישי, 15 ביולי, 2025"
ארצות הברית,אומניקום גרופ,OMC,--,2.02  /,--,3.97B  /,14.19B,לאחר סגירת המסחר,"יום שלישי, 15 ביולי, 2025"
ארצות הברית,ג'ונסון וג'ונסון,JNJ,--,2.68  /,--,22.86B  /,377.51B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,בנק אוף אמריקה,BAC,--,0.8608  /,--,26.75B  /,351.96B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,ASML הולדינג,ASML,--,6.06  /,--,8.74B  /,311.07B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,מורגן סטנלי,MS,--,1.98  /,--,16.01B  /,228.26B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,גולדמן זאקס,GS,--,9.59  /,--,13.51B  /,206.59B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,פרוגרסיב,PGR,--,4.36  /,--,20.48B  /,143.61B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,פרו-לוגיס,PLD,--,0.6907  /,--,2.01B  /,103.15B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,PNC פייננשל,PNC,--,3.55  /,--,5.61B  /,77.93B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,קינדר מורגן,KMI,--,0.2803  /,--,3.75B  /,61.86B,לאחר סגירת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,לאס וגאס סנדס,LVS,--,0.5305  /,--,2.84B  /,35.2B,,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,M&T בנק,MTB,--,3.99  /,--,2.39B  /,32.41B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,מרקט-אקסס הולדינגס,MKTX,--,1.95  /,--,216.86M  /,8.1B,,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,נטפליקס,NFLX,--,7.07  /,--,11.04B  /,529.88B,לאחר סגירת המסחר,"יום חמישי, 17 ביולי, 2025"
ארצות הברית,GE Aerospace,GE,--,1.4  /,--,9.54B  /,272.38B,לפני פתיחת המסחר,"יום חמישי, 17 ביולי, 2025"
ארצות הברית,אבוט לברטוריז,ABT,--,1.25  /,--,11.07B  /,229.69B,לפני פתיחת המסחר,"יום חמישי, 17 ביולי, 2025"
ארצות הברית,פפסיקו,PEP,--,2.03  /,--,22.25B  /,185.45B,לפני פתיחת המסחר,"יום חמישי, 17 ביולי, 2025"
