country,company_name,company_ticker,eps,eps_forcast,revenue,revenue_forcast,company_mkcap,time
ארצות הברית,נשיונאל בוורג',FIZZ,0.48,0.47  /,314M,304.75M  /,4.33B,לאחר סגירת המסחר
ארצות הברית,יוני-פירסט,UNF,2.17,2.1  /,610.8M,614.5M  /,3.24B,לפני פתיחת המסחר
ארצות הברית,פרנקלין קווי,FC,-0.11,0.32  /,67.1M,77.39M  /,287.16M,לאחר סגירת המסחר
ארצות הברית,אימרשן,IMMR,--,0.154  /,--,240M  /,263.38M,
ארצות הברית,US Gold,USAU,--,-0.28  /,--,0.00  /,177.32M,
ארצות הברית,נוטריבנד,NTRB,-0.12,--  /,667.43K,--  /,112.42M,
ארצות הברית,Rail Vision,RVSN,--,--  /,--,--  /,17.49M,
ארצות הברית,PharmaCyte Biotech,PMCB,--,--  /,--,--  /,7.69M,
ארצות הברית,Formation Minerals,FOMI,--,--  /,--,1.00M  /,3.69M,
ארצות הברית,4 Less,FLES,--,--  /,--,--  /,20.46K,
