country,company_name,company_ticker,eps,eps_forcast,revenue,revenue_forcast,company_mkcap,time
ארצות הברית,פרוגרס סופטוור גרופ,PRGS,1.4,1.3  /,237M,237.53M  /,2.33B,לאחר סגירת המסחר
ארצות הברית,Elite Pharma Inc,ELTP,0.02,--  /,32M,--  /,630.33M,
ארצות הברית,אלומיי קפיטל,ELLO,0.62,--  /,8.86M,--  /,225.31M,לאחר סגירת המסחר
ארצות הברית,Fatpipe,FATN,-0.03,--  /,3.79M,--  /,124.36M,
ארצות הברית,GoldMoney,XAUMF,0.73,--  /,42.32M,--  /,81.46M,
ארצות הברית,Bridgford Foods C,BRID,-0.43,--  /,50.64M,--  /,71.98M,
ארצות הברית,Old Market Capital,OMCC,-0.14,--  /,2.95M,--  /,41.45M,
ארצות הברית,IGC Pharma,IGC,-0.02,-0.02  /,260K,310K  /,25.63M,לפני פתיחת המסחר
ארצות הברית,HYLQ Strategy,HYLQF,0.04,--  /,--,--  /,21.6M,
ארצות הברית,Roscan Gold,RCGCF,--,--  /,--,--  /,20.95M,
ארצות הברית,מוגו,MOGU,--,--  /,--,--  /,17.66M,
ארצות הברית,Starr Peak Exploration,STRPF,--,--  /,--,--  /,16.56M,
ארצות הברית,Pcs Edventures Com,PCSV,--,--  /,1.29M,--  /,14.67M,
ארצות הברית,GreenPower Motor,GP,--,-0.1567  /,--,7.22M  /,11.86M,
ארצות הברית,Biovaxys Technology,BVAXF,--,--  /,--,--  /,8.63M,
ארצות הברית,הייוויי הולדינגס,HIHO,-0.08,--  /,1.49M,--  /,7.18M,
ארצות הברית,אמבו אדיוקיישן,AMBO,--,--  /,--,--  /,7.18M,
ארצות הברית,Addentax,ATXG,-0.31,--  /,929.04K,--  /,6.22M,
ארצות הברית,Lomiko Metals,LMRMF,-0.01,--  /,--,--  /,4.85M,
ארצות הברית,Zoomcar Holdings,ZCAR,-6.69,--  /,2.17M,--  /,4.07M,
ארצות הברית,Stemtech,STEK,--,--  /,1.31M,--  /,3.75M,
ארצות הברית,Digerati Tech,DTGI,--,--  /,--,--  /,2.99M,
ארצות הברית,קוואליג'ן תרפיוטיקס,QLGN,-1.09,--  /,--,--  /,2.40M,
ארצות הברית,Aether Global Innovations,AETHF,--,--  /,--,--  /,1.19M,
ארצות הברית,PetroGas,PTCO,--,--  /,--,--  /,979.66K,
ארצות הברית,Avarone Metals,AVRTF,--,--  /,--,--  /,731.32K,
ארצות הברית,CB Wind Down,CBKCQ,--,--  /,--,--  /,3.86K,
ארצות הברית,קונ'ס,CONNQ,--,-0.17  /,--,462.7M  /,2.49K,
