time,country,volatility,description,actual,forecast,previous,date
16:30,ארצות הברית,צפויה תנודתיות גבוהה,יו“ר הפד ג'רום פאוול נושא דברים,,,,"יום שלישי, 1 ביולי, 2025"
17:00,ארצות הברית,צפויה תנודתיות גבוהה,מדד ISM במגזר הייצור  (יוני),49.0,48.8,48.5,"יום שלישי, 1 ביולי, 2025"
17:00,ארצות הברית,צפויה תנודתיות גבוהה,סקר מחזור משרות פתוחות ותעסוקה  (מאי),7.769M,7.320M,7.395M,"יום שלישי, 1 ביולי, 2025"
15:15,ארצות הברית,צפויה תנודתיות גבוהה,מדד התעסוקה של ADP  (יוני),-33K,99K,29K,"יום רביעי, 2 ביולי, 2025"
17:30,ארצות הברית,צפויה תנודתיות גבוהה,מלאי נפט גולמי,3.845M,-3.500M,-5.836M,"יום רביעי, 2 ביולי, 2025"
,ארצות הברית,חופשה,ארצות הברית - יום העצמאות - שעת סגירה מוקדמת - 13:00,,,,"יום חמישי, 3 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,שכר ממוצע לשעת עבודה (חודשי)  (יוני),0.2%,0.3%,0.4%,"יום חמישי, 3 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,תביעות ראשוניות לדמי אבטלה,233K,240K,237K,"יום חמישי, 3 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,השינוי במספר המועסקים במגזר הלא-חקלאי  (יוני),147K,111K,144K,"יום חמישי, 3 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,שיעור האבטלה  (יוני),4.1%,4.3%,4.2%,"יום חמישי, 3 ביולי, 2025"
16:45,ארצות הברית,צפויה תנודתיות גבוהה,מדד מנהלי הרכש - מגזר השירותים  (יוני),52.9,53.1,53.1,"יום חמישי, 3 ביולי, 2025"
17:00,ארצות הברית,צפויה תנודתיות גבוהה,מדד ISM במגזר הלא-יצרני  (יוני),50.8,50.8,49.9,"יום חמישי, 3 ביולי, 2025"
כל היום,ארצות הברית,חופשה,ארצות הברית - יום העצמאות,,,,"יום שישי, 4 ביולי, 2025"
17:30,ארצות הברית,צפויה תנודתיות גבוהה,מלאי נפט גולמי,7.070M,-1.700M,3.845M,"יום רביעי, 9 ביולי, 2025"
21:00,ארצות הברית,צפויה תנודתיות גבוהה,פרוטוקול פגישת ועדת השוק הפתוח,,,,"יום רביעי, 9 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,תביעות ראשוניות לדמי אבטלה,227K,236K,232K,"יום חמישי, 10 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,מדד המחירים לצרכן - ליבה (חודשי)  (יוני),,0.3%,0.1%,"יום שלישי, 15 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,מדד המחירים לצרכן (חודשי)  (יוני),,0.3%,0.1%,"יום שלישי, 15 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,מדד המחירים לצרכן (שנתי)  (יוני),,2.6%,2.4%,"יום שלישי, 15 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,מדד המחירים ליצרן (חודשי)  (יוני),,0.3%,0.1%,"יום רביעי, 16 ביולי, 2025"
17:30,ארצות הברית,צפויה תנודתיות גבוהה,מלאי נפט גולמי,,,7.070M,"יום רביעי, 16 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,מכירות קמעונאיות - ליבה (חודשי)  (יוני),,0.3%,-0.3%,"יום חמישי, 17 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,תביעות ראשוניות לדמי אבטלה,,234K,227K,"יום חמישי, 17 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,מדד הייצור - הפד של פילדלפיה  (יולי),,0.4,-4.0,"יום חמישי, 17 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,מכירות קמעונאיות (חודשי)  (יוני),,0.2%,-0.9%,"יום חמישי, 17 ביולי, 2025"
17:00,ארצות הברית,צפויה תנודתיות גבוהה,מכירות בתים קיימים  (יוני),,,4.03M,"יום רביעי, 23 ביולי, 2025"
16:45,ארצות הברית,צפויה תנודתיות גבוהה,מדד מנהלי הרכש - מגזר הייצור  (יולי),,,52.9,"יום חמישי, 24 ביולי, 2025"
16:45,ארצות הברית,צפויה תנודתיות גבוהה,מדד מנהלי הרכש - מגזר השירותים  (יולי),,,52.9,"יום חמישי, 24 ביולי, 2025"
